,producto
1499,"CODO P/CEM. 45 X 4"""
1500,"CODO P/CEM. 45 X 6"""
1502,"CODO P/CEM. 90 X 1 1/2"""
1503,"CODO P/CEM. 90 X 2"""
1504,"CODO P/CEM. 90 X 3"""
1505,"CODO P/CEM. 90 X 4"""
1506,"CODO P/CEM. 90 X 4"" S. TRAS 2"""
1509,COLADERA INSTA-REX
1486,TUERCA UNION HID. CEM. 1 1/4 
1533,VALVULA DE LLENADO ROTOPLAS 1/2
1432,GABINETE REINA 100X50
1429,SELLADOR PERMATEX 51-H 120 GR
1366,"COPLE CRE COBRE 1 1/2"""
1367,"COPLE CRE COBRE 1 1/4"""
1369,"COPLE CRE COBRE 1/2"""
1370,"COPLE CRE COBRE 3/4"""
1371,COPLE CRE COBRE RED. 1/2 X 3/8
1372,"COPLE CRI COBRE 1/2"""
1365,COPLE COBRE 3/4 C/TOPE
1373,"COPLE CRI COBRE 3/4"""
1375,FLOTADOR COBRE No. 6
1376,PICTEL GAS
1380,"RED. BUSHING COBRE 1"" X 3/4"""
1381,"RED. BUSHING COBRE 3/4"" X 1/2"""
1383,"RED. CAMPANA COB. 1"" X 3/4"""
1384,"TAPON CAPA COBRE 1/2"""
1374,FLOTADOR COBRE No. 5
1364,"COPLE COBRE 1/2"""
1363,COPLE COBRE 1/2 C/TOPE
1362,"CODO CRI COBRE 1/2"""
1343,"NIPLE UNION 3/8"""
1344,"PUNTA POOL C/ROSCA CORTO 1/4"""
1347,"TUERCA CONICA GAS 3/8"""
1348,"TUERCA CONICA RED. 3/8"" X 1/4"""
1349,TUERCA IZQUIERDA P/PICTEL NACOBRE
1350,TUERCA LOCA 3/8 P/GAS
1352,VALVULA ANGULAR C/BARRIL NACOBRE
1353,VALVULA ANGULAR C/ROSCA NACOBRE
1354,VALVULA DE AGUJA C/ESPREA 3/8
1355,VALVULA DE PASO VAFF 3/8 X 3/8
1357,CODO COBRE 45 X 1/2
1358,CODO COBRE 45 X 3/4
1359,"CODO COBRE 90 X 1"""
1360,"CODO COBRE 90 X 1/2"""
1361,"CODO COBRE 90 X 3/4"""
1387,"TEE COBRE 1"""
1430,SELLADOR PERMATEX CAB. INDIO 56 GR
1388,"TEE COBRE 1/2"""
1390,"TEE CRI CENTRO COB. 1/2"""
1412,PEGAMENTO PITBULL 250 GR. AZUL OMEGA
1413,PEGAMENTO PITBULL 500 GR. AZUL OMEGA 
1414,BOMBA PERIFERICA 1/2 HP IGOTO
1415,FOCO 60 WTS OSRAM LEED 8.5 W
1416,"LLAVE ESFERA CEM. PVC  1"""
1417,LLAVE ESFERA CEM. PVC 1 1/2
1411,PEGAMENTO PITBULL 125 GR. AZUL OMEGA
1420,LLAVE ESFERA CEM. PVC 3/4
1423,MASTIQUE PENSYLVANIA BOLSA 1 KG
1424,CARTUCHO SILICON ANTIHONGOS BLANCO
1425,CARTUCHO SILICON ANTIHONGOS TRANSPARENTE
1426,CARTUCHO SILICON PEPE TRANSP.
1427,TUBO SILICON 125 GR. ANTIHONGOS
1428,TUBO SILICON 75 GR. PENS
1421,LLAVE ESFERA ROSC. PVC 1/2
1410,SOLDADURA OMEGA 95 X 5
1409,SOLDADURA OMEGA 50 X 50
1407,CARRETE SOL. OMEGA 50 X 50
1391,TOBERA PARA COMAL 3/4
1392,TUBO COBRE T-L 1/2
1393,"TUBO COBRE T-M 1"""
1394,"TUBO COBRE T-M 1/2"""
1395,"TUBO COBRE T-M 3/4"""
1396,"TUBO FLEXIBLE COB. 1/2"""
1397,"TUBO FLEXIBLE COB. 1/4"""
1399,"TUBO FLEXIBLE COB. 3/8"""
1400,"TUERCA UNION COB. 1/2"""
1401,"TUERCA UNION COB. 3/4"""
1402,REGULADOR 1 VIA C/MAN. NACOBRE RN-1PME
1403,REGULADOR 1 VIA NACOBRE RN-1AE
1404,REGULADOR 2 VIAS NACOBRE RN-2AE
1405,SEGUETA NICHOLSON BI METAL
1406,SEGUETA NICHOLSON DIENTE FINO
1389,"TEE COBRE 3/4"""
1534,VALVULA DE LLENADO ROTOPLAS 3/4
1535,CARTUCHO RUGO ANTIGUO LARGO RI-98
1537,BRIDA RUGO P/MIGITORIO MD. 70
1684,"ADAPTADOR PLUS MACHO 1"" "
1685,"ADAPTADOR PLUS MACHO 1/2"""
1686,"ADAPTADOR PLUS MACHO 3/4"""
1687,CODO PLUS 45 X 1/2
1688,CODO PLUS 45 X 3/4
1689,"CODO PLUS 90 X 1"""
1683,"ADAPTADOR PLUS HEMBRA 3/4"""
1690,CODO PLUS 90 X 1/2
1692,CODO PLUS HEMBRA 1/2 (20 MM)
1694,COPLE PLUS 1/2 (20MM)
1695,COPLE PLUS 3/4 (25MM)
1696,RED. PLUS 1 X 3/4 (32 X 25 MM)
1697,RED. PLUS 3/4 X 1/2 (25 X 20 MM)
1699,TAPON PLUS 3/4 (25 MM)
1691,CODO PLUS 90 X 3/4
1682,"ADAPTADOR PLUS HEMBRA 1/2"""
1681,"ADAPTADOR PLUS HEMBRA 1"""
1680,LLAVE EMPOTRAR P/REGADERA TUBOPLUS 1/2
1659,"POLIDUCTO 2"" C-40 (50 MM)"
1660,POLIDUCTO 3/4 C-40 (19 MM)
1661,TAPA P/MALOS OLORES (TAPACOOL) BLANCA
1662,"TEE PVC HID 2"" CON CAMPANA"
1663,YESO
1666,CONECTOR MOVIBLE BRONCE 1/2 
1667,KIT EMPAQUES CALENTADOR SOLAR
1668,BARRA D/MAGNESIO P/CALENTADOR SOLAR 
1670,CALENTADOR SOLAR 15 TUBOS A. INOX
1671,TUBO P/CALENTADOR SOLAR 
1673,FLOTADOR ELECTRICO SQUARED 
1674,THINER ESTÁNDAR
1675,PEGAMENTO TANGIT ROSA 240 GR.
1676,PEGAMENTO TANGIT ROSA 50 GR.
1679,TUERCA UNION PLUS 3/4 (25MM)
1700,"TEE PLUS 1"" (32 MM)"
1658,POLIDUCTO 1/2 REFORZADO C-80 (13MM)
1701,TEE PLUS 1/2 (20 MM)
1703,"TUBO PLUS 1"" (32 MM)"
1731,MEZCLADORA URREA P/FREGADERO 318 
1732,MEZCLADORA URREA P/FREGADERO 318 QC
1734,REGADERA URREA FIG. 3001-B 
1735,CESPOL URREA BOTE FIG. 3732
1736,CESPOL URREA P/LAV. FIG. 3711
1737,CESPOL URREA P/LAV. FIG. 3712
1730,MANERAL URREA QUEEN S/CHAPETON GDE
1739,DISCO URREA DURO P/REG. R207025
1744,ASIENTO VICAR MD. 91 BLANCO
1746,ASIENTO VICAR MD. 92 BLANCO
1749,ASIENTO VICAR MD. 98 BLANCO
1750,GOZNE TORN. 101/104 BOLSA NATURAL
1752,"TAQUETE PLASTICO 1/4"" "
1753,"TAQUETE PLASTICO 5/16"" "
1741,RONDANA URREA CARTUCHO 312
1729,MANERAL URREA QUEEN C/CHAPETON GDE
1726,"LLAVE T/ALTO FIG. 04-N 3/4"""
1725,"LLAVE T/ALTO FIG. 04-N 1/2"""
1704,TUBO PLUS 1/2 (20 MM) 
1705,TUBO PLUS 3/4 (25 MM)
1706,"TUERCA UNION PLUS 1"" (32MM)"
1707,VALVULA ESF. TUBOPLUS 1/2 (20 MM)
1708,VALVULA ESF. TUBOPLUS 3/4 (25 MM)
1709,MASKING TAPE GRANDE 24 X 50
1711,CARTUCHO URREA R470078
1714,"LLAVE D/COMP. FIG. 783 3/4"" SOLD. URREA"
1715,"LLAVE D/CUADRO/BANQ. FIG. 12 1/2"" URREA"
1719,"LLAVE D/NARIZ FIG. 19-N 1/2"" URREA"
1720,"LLAVE D/NARIZ FIG. 19-N 3/4"" URREA"
1721,LLAVE D/NARIZ URREA 21.13
1722,LLAVE D/NARIZ URREA LMCO1.13 
1723,LLAVE EMPOTRAR P/REG. 52 URREA ROSC.
1724,LLAVE EMPOTRAR P/REG. 652 URREA SOLD.
1702,TEE PLUS 3/4 (25 MM)
1657,"POLIDUCTO 1"" C-40 (25 MM)"
1656,"POLIDUCTO 1 1/4"" C-40 (32 MM)"
1655,"POLIDUCTO 1 1/2"" C-40 (38 MM)"
1575,ADAPTADOR ESPIGA BRONCE 1/2
1576,ADAPTADOR ESPIGA BRONCE 1/4
1577,"ADAPTADOR ESPIGA BRONCE 2"""
1578,ADAPTADOR ESPIGA BRONCE 3/4
1579,ADAPTADOR HEMBRA BRONCE DE 1/2
1580,ADAPTADOR UNIDOR BRONCE DE 1/2
1574,"ADAPTADOR ESPIGA BRONCE 1"""
1582,COPLE UNION FLARE 3/8
1587,REGADERA FIJA DE 4 X 1/2 BRONCE
1588,TEE BRONCE 1/2 UNIDOR
1589,VALVULA PARA COMAL A.P. 
1591,VALVULA PARA ESTUFON A.P.  V.CORTO
1594,FILTRO DE CARBON ACTIVADO 78 X 38
1596,CEMENTO BLANCO
1585,JUEGO DE BALANCIN
1573,ADAPTADOR ESPIGA BRONCE 1 1/4
1570,ACIDO MURIATICO 1 LT
1569,"REGISTRO 60 X 40 ANGULO 1 """
1539,"CONTRA SPUD RUGO BCE. 3/4"""
1540,LLAVE INSERCION ESPIGA 1/2 80-E RUGO
1541,UNION RUGO COBRE A COBRE 1/2 81-U
1542,BOTON LATERAL 60-KO RUGO
1544,LLAVE IND. P/LAVABO 16-B RUGO
1547,CUBRE TALADRO 26T RUGO
1550,CINCHO PLASTICO 250 X 3.5 MM
1553,PASTA PARA SOLDAR  75 GRS.
1556,PEGAMENTO SILER 225 GR. P/PVC
1557,PEGAMENTO SILER 480 GR. P/PVC
1558,PEGAMENTO SILER 60 GR. P/PVC
1559,SELLADOR SILER 125 GR
1560,BASE PARA BOYLER DE ANGULO
1564,PIJA FIJADORA 10 X 38
1568,PIJA FIJADORA 8 X 38
1597,LAVADERO C/PILETA  DE CEM. INF. 60X60
1600,JUNTA PROEL C/CONO
1601,JUNTA PROEL S/CONO
1603,"TUBO CROMADO DE 1"" X 3 MTS"
1637,ROMPELLAMAS P/QUEMADOR
1638,SOPORTE P/LAV. LAMINA JGO
1639,SOPORTE UNIV. P/LAVABO ALUMINO 
1640,TUBOS DE LAMINA 4
1641,TUBOS DE LAMINA 6
1642,TUERCA P/CUELLO FREGADERO 
1643,HILO P/PERA PERFECTA
1644,ADAPTADOR P/LAVADERO C/CONTRA 
1647,MANGUERA 3/8 X 4 MTS NEGRA A.P
1649,MANGUERA AHULADA AZUL  1/2
1650,MANGUERA AHULADA AZUL  3/4
1651,MANGUERA P/GAS 3/8 ALTA PRESION
1652,MANGUERA TRAMADA VERDE 1/2
1653,MANGUERA TRAMADA VERDE 3/4
1654,PERILLA BAQUELITA
1635,QUEMADOR ESTRELLA 30 CM.Y 40CM
1341,"NIPLE TERMINAL 3/8"" X 3/8"""
1634,QUEMADOR ESTRELLA  15CM
1632,CODO DE LAMINA 45 X 4
1604,TUERCA P/CONTRA CANASTA
1605,BOLSA ESTOPA BLANCA
1608,COLADERA FOFO 15 X 15 ECO
1612,GRASA GRAFITADA 
1613,CONECTOR HULE 1 1/2 X 1 1/4
1614,CONECTOR HULE 2 X 1 1/2
1615,CONECTOR HULE 2 X 1 1/4
1617,EMPAQUE 02 CONICO P/LLAVE
1622,EMPAQUE 13 ORING NEOPRENO 111
1623,EMPAQUE 14 ORING NEOPRENO 112
1624,EMPAQUE 19 CONECTOR DE LLAVE NARIZ
1625,EMPAQUE 34 ACOPLAR WC
1628,KIT EMPAQUES LLAVE 1/4 VTA.
1629,KIT EMPAQUES REGADERA
1631,CASQUILLO DE LAMINA 4
1633,CODO DE LAMINA 90 X 4
1340,"NIPLE TERMINAL 3/8"" X 1/4"""
1586,PIJA P/WC BRONCE
1338,LLAVE ESFERA COMPRESION 1/2 NACOBRE
1018,VALVULA DE PASO 3/8 DURMAN GAS
1021,TUBO P/GAS AMAR. 3/8 DURMAN
1022,CUBIERTA EB MD. C-300 64CM 1 TAR.
1025,"ABRAZADERA P.V.C. 1/2"" X 2 1/2"""
1026,"ABRAZADERA P.V.C. 1/2"" X 2"""
1030,"ADAPTADOR EDOMEX INSERCION MACHO 1 1/4"""
1017,TEE DURMAN GAS 3/8 
1031,"ADAPTADOR EDOMEX INSERCION MACHO 1"""
1033,"ADAPTADOR EDOMEX INSERCION MACHO 3/4"""
1035,"COPLE EDOMEX INSERCION 1 1/2"""
1036,"COPLE EDOMEX INSERCION 1/2"""
1038,"COPLE EDOMEX INSERCION 3/4"""
1039,"LLAVE EDOMEX D/NARIZ C/ROSCA 1/2"""
1040,"TEE EDOMEX INSERCION 1/2"" "
1032,"ADAPTADOR EDOMEX INSERCION MACHO 1/2"""
1015,ADAPTADOR DURMAN GAS MACHO 3/8 X 1/2 RM
1014,ADAPTADOR DURMAN GAS FLARE 3/8 X 3/8
1013,EXTENSION DICA P/CESPOL 3209
982,BASE P/BOYLER C/REJILLA GRANDE
983,TANQUE ESTACIONARIO CYTSA 180 KGS.
984,REGADERA DICA FIG. 4506-B
985,CARTUCHO DICA R2801045
987,CARTUCHO DICA R280856
988,"CHECK REJILLA DICA 1 1/4"""
989,"CHECK REJILLA DICA 1"""
991,"CHECK REJILLA DICA 3/4"""
993,BRAZO REGADERA DICA 4552BRR CROMO
996,LLAVE D/NARIZ DICA 4019C CROMADA 
997,LLAVE INDIVIDUAL DICA P/LAV 4242IN
1000,MANIJA P/W.C. PALANCA 3019 DICA
1004,MEZCLADORA DICA P/LAVABO 4071.1
1010,LLAVE D/NARIZ DICA 4020 P/MANG.
1012,REGADERA DICA FIG. 4504-B
1043,PAQ. PILAS ENEGIZER D
981,MANGUERA COFLEX P/SANIT. VINIL GRIS
1045,CESPOL FAMA P/LAVABO FLEXIBLE F-9770
1050,LIJA P/AGUA No.600
1082,ABRAZADERA OMEGA 1/2
1083,"ABRAZADERA OMEGA 2"""
1085,ABRAZADERA SIN FIN No. 10
1086,ABRAZADERA SIN FIN No. 12
1087,ABRAZADERA SIN FIN No. 16
1088,ABRAZADERA SIN FIN No. 20
1081,ABRAZADERA OMEGA 1 1/2
1089,ABRAZADERA SIN FIN No. 24
1092,ABRAZADERA SIN FIN No. 6
1093,ABRAZADERA SIN FIN No. 72
1094,ABRAZADERA SIN FIN No. 8
1095,ABRAZADERA UÑA 1/2
1097,ABRAZADERA UÑA 3/8
1098,VALVULA DE LLENADO 1 1/4 GAS
1090,ABRAZADERA SIN FIN No. 4
1079,"MULTICODO HULCEN 4 EN 1  DE 1"""
1077,CONECTOR Y HULCEN 8 EN 1
1075,BROCA P/CONCRETO 3/8 X 6 GREENDIELD
1051,LIJA P/FIERRO FINA
1052,LIJA P/FIERRO GRUESA
1053,LIJA P/FIERRO MEDIANA
1054,LIJA POR METRO
1059,PEGAMENTO CPVC 118 GR.
1060,PEGAMENTO CPVC 220 GR.
1061,PEGAMENTO CPVC 60 GR. 
1063,VALVULA DE T/BAJO FLUID MASTER400A133
1064,BROCA ALT. VEL. 1/16 GREENFIED
1066,BROCA ALT. VEL. 1/8 GREENFIELD
1069,BROCA ALT. VEL. 5/16 GREENFIELD
1070,BROCA ALT. VEL. 5/64 GREENFIELD
1071,BROCA ALT. VEL. 9/64 GREENFIELD
1073,BROCA P/CONCRETO 1/4 X 6 GREENFIELD
1074,BROCA P/CONCRETO 3/16 X 4 GREENFIELD
1048,LIJA P/AGUA No.180
1099,VALVULA DE LLENADO DE 3/4 GAS
980,MANGUERA COFLEX P/LAV. VINIL GRIS
978,MANGUERA COFLEX 3/8 x 3/8 60 CM
903,LLAVE NARIZ ANBEC LLAC1423
905,TORNILLO P/ACOPLAR ANBEC 
906,BRAZO ANBEC C/CHAP. BC771C
907,BRAZO ANBEC C/CHAP. BC996C
912,VALVULA ESF. ANBEC PPR 3/4 (25 MM)
914,LIMPIADOR P.V.C. 500 ML ARES
899,LLAVE DE INSERCION NPT - COBRE I.30 DE 1/2 ALFA
915,BOYLER LEÑA REFORZADO 40 LTS MONTERREY
918,BOYLER ASCOT 5 LTS
919,BOYLER ASCOT 8 LTS
921,MEMBRANA PARA TANQUE DE 24 LTS 
922,BOMBA PERIFERICA 1/2 HP BONASA
923,BOMBA NORYL 1/4 HP 
924,ELECTRONIVEL BONASA YY9333
916,BOYLER LEÑA REFORZADO 60 LTS MONTERREY
898,LLAVE DE CUADRO M-10 DE 1/2 ALFA
896,"TUBO PVC SANITARIO 6"""
895,"TUBO PVC SANITARIO 4"""
1339,"NIPLE TERMINAL 3/8"" X 1/2"""
877,CINTA AHISLAR PLASTICA 
879,"TUBO DE POLIETILENO CORRUGADO DE 6"""
881,TUBO C-40 HIDRAULICO DE 1 1/2
884,"TUBO HID. C/CAM. 1 1/2"" RD 26"
885,"TUBO HID. C/CAM. 2 1/2"" RD 26"
886,"TUBO HID. C/CAM. 2"" RD 26"
887,"TUBO HID. C/CAM. 3"" RD 26"
888,"TUBO HID. P/CEM. 1 1/4"" RD 26"
889,"TUBO HID. P/CEM. 1"" RD 26"
890,"TUBO HID. P/CEM. 1/2"" RD 13.5"
891,"TUBO HID. P/CEM. 3/4"" RD 26"
892,"TUBO PVC SANITARIO 1 1/2"""
893,"TUBO PVC SANITARIO 2"""
894,"TUBO PVC SANITARIO 3"""
925,SELLO MECANICO 1/2
979,MANGUERA COFLEX P/FREG. VINIL GRIS
926,VALVULA DE ALIVIO CALOREX 3/4
930,TERMOSTATO PROTEC CALOREX
958,EMPAQUE COFLEX P/MANG. LAV. ER-A12
959,EMPAQUE ORRING COFLEX P/ PUNTA POOL
960,JUEGO DE HERRAJES COFLEX PS-A005
961,MANGUERA COFLEX P/LAVADORA PL-102
964,TRAMPA COFLEX P/LAV. O FREG. TF-100
966,ACOPLE COMPRESION COFLEX 1/2 NM-D01
957,CUELLO FLEX. P/WC PB-115 COFLEX
968,CINTA TEFLON COFLEX 1/2
970,MANGUERA COFLEX 1/2 X 3/4 AB-H60 
972,MANGUERA COFLEX 3/4 X 3/4 AB-B40
973,MANGUERA COFLEX 3/8 X 3/8 100 CM
974,MANGUERA COFLEX 3/8 X 3/8 300 CM
975,MANGUERA COFLEX 3/8 X 3/8 500 CM
976,MANGUERA COFLEX 3/8 x 3/8 200 CM
969,"CINTA TEFLON COFLEX 3/4"""
955,"BRIDA COFLEX P/WC PB-200 4"""
954,BRIDA COFLEX P/MIGITORIO PB-402
951,"BISAGRA COFLEX P-B6036 3"""
931,QUEMADOR CALOREX 9 LTS TIPO PANAL
934,TERMOSTATO CINSA C/ PIEZO
935,TINACO 1100 LTS CITIPLAS (BEIGE)
936,TINACO 450 LTS CITIPLAS (NEGRO)
937,TINACO 750 LTS CITIPLAS (NEGRO)
939,JUEGO CONECTOR MOVIBLE BCE. 1/2
940,JUEGO CONECTOR MOVIBLE BCE. 3/4
941,REGADERA ELECTRICA COFLEX PR-E100 BASICA
942,PUNTA POOL CON ORRING UPP-5 COFLEX
943,TUERCA IZQ. C/MANERAL COFLEX UTI-14M
945,"MANGUERA COFLEX P/LAVABO ""T"" AL-T55"
946,MANGUERA COFLEX P/LAVABO 1/2 X 1 MT
948,MANGUERA COFLEX P/SANITARIO 1/2 X 50 LS-A50
949,"BISAGRA COFLEX P-B6025 2"""
950,"BISAGRA COFLEX P-B6026 2"""
929,TERMOPARA CALOREX C/ENCENDIDO ELECTRONICO
1100,ELECTRONIVEL INRECO
962,TAPON COFLEX PH-230 P/LAV.
1104,"LLAVE ESFERA 1 1/2"" C/ROSC. IUSA"
1255,"NIPLE GALV. 3/4"" X R.C."
1256,"NIPLE GALV. 3/8"" X R.C."
1258,"RED. BUSHING GALV. 1 1/2"" X 3/4"""
1259,"RED. BUSHING GALV. 1 1/4"" X 1"""
1260,"RED. BUSHING GALV. 1 1/4"" X 3/4"""
1261,"RED. BUSHING GALV. 1"" X 1/2"""
1254,"NIPLE GALV. 3/4"" X 5"""
1262,"RED. BUSHING GALV. 1"" X 3/4"""
1264,"RED. BUSHING GALV. 1/2"" X 3/8"""
1265,"RED. BUSHING GALV. 2"" X 1 1/2"""
1267,"RED. BUSHING GALV. 3/4"" X 1/2"""
1270,"RED. CAMPANA GALV. 1 1/2"" X 1/2"""
1272,"RED. CAMPANA GALV. 1 1/4"" X 3/4"""
1273,"RED. CAMPANA GALV. 1"" X 1/2"""
1263,"RED. BUSHING GALV. 1/2"" X 1/4"""
1252,"NIPLE GALV. 3/4"" X 3"""
1251,"NIPLE GALV. 3/4"" X 3 1/2"""
1250,"NIPLE GALV. 3/4"" X 2"""
1223,"NIPLE GALV. 1 1/4"" X 6"""
1227,"NIPLE GALV. 1""  X 5"""
1228,"NIPLE GALV. 1""  X 8"""
1229,"NIPLE GALV. 1""  X R.C."
1230,"NIPLE GALV. 1/2"" X 1 1/2"""
1232,"NIPLE GALV. 1/2"" X 2 1/2"""
1233,"NIPLE GALV. 1/2"" X 2"""
1234,"NIPLE GALV. 1/2"" X 3"""
1235,"NIPLE GALV. 1/2"" X 4"""
1238,"NIPLE GALV. 1/2"" X 8"""
1239,"NIPLE GALV. 1/2"" X R.C."
1240,"NIPLE GALV. 1/4"" X 1 1/2"""
1242,"NIPLE GALV. 1/4"" X R.C."
1244,"NIPLE GALV. 2"" X 3"""
1249,"NIPLE GALV. 3/4"" X 12"""
1274,"RED. CAMPANA GALV. 1"" X 3/4"""
1275,"RED. CAMPANA GALV. 1/2"" X 1/4"""
1279,"RED. CAMPANA GALV. 2"" X 1/2"""
1280,"RED. CAMPANA GALV. 2"" X 3/4"""
1314,"RED. HID. CEM. 2"" X 1"""
1315,"TAPA HID. P/CEM. 1"""
1316,"TAPA HID. P/CEM. 2 1/2"""
1318,"TEE HID. P/CEM. 1 1/2"""
1320,"TEE HID. P/CEM. 1"""
1321,"TEE HID. P/CEM. 1/2"""
1322,"TEE HID. P/CEM. 2"""
1328,CINTA TEFLON MUELLER 1/2
1331,"CAMPANA NIPLE 3/8"" X 1/2"""
1332,"CAMPANA NIPLE 3/8"" X 1/4"""
1333,"CAMPANA NIPLE 3/8"" X 3/8"""
1335,"CODO ESTUFA 3/8"" X 3/8"""
1336,"CODO TERMINAL 3/8"" X 1/2"" GAS"
1101,ACOPLADOR IUSA P/GAS 3/4
1337,LLAVE DE T/ALTO DE 1/2 NACOBRE 
1312,"RED. HID. CEM. 2"" X 1 1/2"""
1220,"CRUZ GALV. 1/2"""
1311,"RED. HID. CEM. 1""  X 3/4"
1306,"YEE GALV. 3/4"""
1282,"RED. CAMPANA GALV. 3/4"" X 1/2"""
1287,"TAPON CAPA GALV. 1/2"""
1289,"TAPON MACHO GALV. 1 1/4"""
1290,"TAPON MACHO GALV. 1/2"""
1291,"TAPON MACHO GALV. 1/4"""
1292,"TAPON MACHO GALV. 3/4"""
1294,"TEE GALV. 1/2"""
1295,"TEE GALV. 2"""
1296,"TEE GALV. 3/4"""
1297,"TUBO GALV. 1"""
1298,"TUBO GALV. 1/2"""
1299,"TUBO GALV. 2"""
1300,"TUBO GALV. 3/4"""
1302,"TUERCA UNION GALV. 1"""
1303,"TUERCA UNION GALV. 1/2"""
1309,"RED. HID. CEM. 1 1/2"" X 1/2"""
1217,"COPLE GALV. 3/4"""
1288,"TAPON MACHO GALV. 1 1/2"""
1214,"COPLE GALV. 1/2"""
1136,"JUEGO DE HERRAJES 3"" MASTER CIM"
1137,VALVULA T/BAJO MASTER CIM
1139,DUCTO FLEX. MIBER 4 X 2.40 DFL-A4
1140,CONTRA P/LAV. MIBER AULASIN
1142,MEZCLADORA MIBER FLEXIBLE GF-AQ301
1144,"CONTRACANASTA ""M"" MIBER"
1135,"JUEGO DE HERRAJES 2"" MASTER CIM"
1145,CONTRACANASTA LANZAMATICA MIBER
1149,CHECK HORIZONTAL MUELLER 1/2
1150,CHECK HORIZONTAL MUELLER 3/4
1153,ADAPTADOR CPVC HEMBRA 1 1/4
1154,"ADAPTADOR CPVC HEMBRA 1"""
1155,ADAPTADOR CPVC HEMBRA 1/2
1156,ADAPTADOR CPVC HEMBRA 3/4
1148,CHECK COLUMPIO MUELLER 3/4
1133,BISAGRA MASTER CIM P/WC
1131,BOYLER MAGAMEX POTENZA AUSTERO 7 LTS
1129,CILINDRO P/CAMPING LINMEX
1105,"LLAVE ESFERA 1"" C/ROSC. IUSA"
1107,"LLAVE ESFERA 1/2"" C/ROSC. IUSA"
1215,"COPLE GALV. 1/4"""
1108,"LLAVE ESFERA 1/2"" SOLD. IUSA"
1109,"LLAVE ESFERA 3/4"" C/ROSC. IUSA"
1110,"LLAVE ESFERA 3/4"" SOLD. IUSA"
