,producto,marca,material,mediana_diaria,sigma_robusta,stock_seguro,ss/6,ss/20,ss/100,ss/200,punto_reorden,rop/6,rop/20,rop/100,rop/200
18,MANGUERA AHULADA AZUL  3/4,SIN MARCA,PLASTICO,9.5,10.00755,37,6,2,0,0,113,19,6,1,1
19,"TAQUETE PLASTICO 1/4"" ",ZAKANY,PLASTICO,10,8.8956,33,6,2,0,0,113,19,6,1,1
20,VALVULA ANGULAR 1/4 VUELTA BARRIL IP-134P COFLEX,COFLEX,CROMADO,8.5,11.119499999999999,41,7,2,0,0,109,18,5,1,1
21,PIJA FIJADORA 8 X 25,SIN MARCA,ACERO,10,7.412999999999999,27,4,1,0,0,107,18,5,1,1
22,ABRAZADERA UÑA 3/8,IDEAL INT.,INOX,10,7.412999999999999,27,4,1,0,0,107,18,5,1,1
23,CORDON POR 14 IUSA,IUSA,ABRACIBOS,9,7.412999999999999,27,4,1,0,0,99,16,5,1,0
24,EMPAQUE CUBRE POLVO PARA CALENTADOR SOLAR,SOLARIS,HULE,10,4.4478,16,3,1,0,0,96,16,5,1,0
25,PIJA FIJADORA 12 X 38,SIN MARCA,ACERO,9,5.9304,22,4,1,0,0,94,16,5,1,0
26,"TUBO COBRE T-L 3/4""",NACOBRE,COBRE,9.099999904632568,5.7080098586082455,21,4,1,0,0,93,16,5,1,0
27,CODO CPVC 90 X 1/2,MUELLER,CPVC,8,5.9304,22,4,1,0,0,86,14,4,1,0
28,"ABRAZADERA OMEGA 1""",IDEAL INT.,INOX,8,5.9304,22,4,1,0,0,86,14,4,1,0
29,ABRAZADERA UÑA 1/2,IDEAL INT.,INOX,8,5.9304,22,4,1,0,0,86,14,4,1,0
30,PIJA FIJADORA 10 X 50,SIN MARCA,ACERO,8,5.9304,22,4,1,0,0,86,14,4,1,0
31,"POLIDUCTO 2"" C-40 (50 MM)",SIN MARCA,PLASTICO,8,5.9304,22,4,1,0,0,86,14,4,1,0
32,PIJA FIJADORA 10 X 38,SIN MARCA,ACERO,8,5.9304,22,4,1,0,0,86,14,4,1,0
33,PIJA FIJADORA 10 X 32,SIN MARCA,ACERO,8,5.9304,22,4,1,0,0,86,14,4,1,0
34,"POLIDUCTO 1"" C-40 (25 MM)",SIN MARCA,PLASTICO,7,7.531607975256443,28,5,1,0,0,84,14,4,1,0
35,SOQUET INTEMPERIE DOBLE CONTACTO SOC-008,CNX,ACERO,10,0,0,0,0,0,0,80,13,4,1,0
36,"ABRAZADERA BRONCE 6"" X 1/2",RUGO,BRONCE,10,0,0,0,0,0,0,80,13,4,1,0
37,"TUBO COBRE T-M 3/4""",NACOBRE,COBRE,6.049999952316284,7.487129929304123,28,5,1,0,0,76,13,4,1,0
38,"TUBO PVC SANITARIO 4""",ADVANCE,PVC,6,7.412999999999999,27,4,1,0,0,75,12,4,1,0
39,TUBO COBRE T-L 1/2,NACOBRE,COBRE,6.099999904632568,7.472303943443298,27,4,1,0,0,75,12,4,1,0
40,ABRAZADERA UÑA 3/4,IDEAL INT.,INOX,8,2.9652,11,2,1,0,0,75,12,4,1,0
41,"TUBO COBRE T-M 1/2""",NACOBRE,COBRE,6.099999904632568,6.819959858608246,25,4,1,0,0,73,12,4,1,0
42,"TAQUETE PLASTICO 3/16""",ZAKANY,PLASTICO,7,4.4478,16,3,1,0,0,72,12,4,1,0
43,CODO PLUS 90 X 1/2,TUBOPLUS,PPR,6.5,5.1891,19,3,1,0,0,71,12,4,1,0
44,"TUBO PVC SANITARIO 2""",ADVANCE,PVC,6,5.9304,22,4,1,0,0,70,12,4,1,0
45,ABRAZADERA OMEGA 3/8,IDEAL INT.,INOX,6,5.9304,22,4,1,0,0,70,12,4,1,0
46,BARRIL PARA GAS 1/2,SIN MARCA,BRONCE,6,5.9304,22,4,1,0,0,70,12,4,1,0
47,"CODO COBRE 90 X 1/2""",NACOBRE,COBRE,6,5.9304,22,4,1,0,0,70,12,4,1,0
48,ABRAZADERA OMEGA 1/2,IDEAL INT.,INOX,6,5.9304,22,4,1,0,0,70,12,4,1,0
49,"POLIDUCTO 1 1/4"" C-40 (32 MM)",SIN MARCA,PLASTICO,5.5,6.30105,23,4,1,0,0,67,11,3,1,0
50,ABRAZADERA OMEGA 3/4,IDEAL INT.,INOX,6,5.1891,19,3,1,0,0,67,11,3,1,0
51,MANGUERA INDUSTRIAL  1 1/2,SIN MARCA,PLASTICO,8.199999809265137,0,0,0,0,0,0,65,11,3,1,0
52,CODO PLUS 90 X 3/4,TUBOPLUS,PPR,6,4.4478,16,3,1,0,0,64,11,3,1,0
53,"CONTRA SPUD RUGO BCE. 2"" ",RUGO,BRONCE,8,0,0,0,0,0,0,64,11,3,1,0
54,"TUBO PVC SANITARIO 3""",ADVANCE,PVC,6,4.4478,16,3,1,0,0,64,11,3,1,0
55,LLAVE EMPOTRAR P/REGADERA 4052SM DICA,DICA,BRONCE,5,5.9304,22,4,1,0,0,62,10,3,1,0
56,PIJA FIJADORA 12 X 32,SIN MARCA,ACERO,6,2.9652,11,2,1,0,0,59,10,3,1,0
57,"CODO P/CEM. 90 X 2""",REXOLIT,PVC,5,4.4478,16,3,1,0,0,56,9,3,1,0
58,"CODO COBRE 90 X 2""",NACOBRE,COBRE,5,4.4478,16,3,1,0,0,56,9,3,1,0
59,CODO CPVC 90 X 3/4,MUELLER,CPVC,5,4.4478,16,3,1,0,0,56,9,3,1,0
60,TORNILLO HEX FoNo  5/8 X 2 1/2 C/TUERCA,SIN MARCA,ACERO,4.5,5.1891,19,3,1,0,0,55,9,3,1,0
61,MANGUERA TRAMADA VERDE 3/4,SIN MARCA,PLASTICO,5,3.7064999999999997,14,2,1,0,0,54,9,3,1,0
62,VIDRIO BLOCK  CLEAR MARINA OCEAN OLAS,SIN MARCA,VIDRIO,6,1.4826,5,1,0,0,0,53,9,3,1,0
63,ABRAZADERA SIN FIN 10,HIERRO,ACERO INOX,4.5,4.4478,16,3,1,0,0,52,9,3,1,0
64,"ABRAZADERA UÑA 1""",IDEAL INT.,INOX,5,2.9652,11,2,1,0,0,51,8,3,1,0
65,CORDON POT 16 IUSA,IUSA,ACERO,5,2.9652,11,2,1,0,0,51,8,3,1,0
66,MANGUERA PARA NIVEL 1/4,SIN MARCA,PLASTICO,5,2.9652,11,2,1,0,0,51,8,3,1,0
67,BULTO CANFRANC PISO SOBRE PISO ,CANFRANC,PASTA,4,4.4478,16,3,1,0,0,48,8,2,0,0
68,COPLE CPVC 1/2,MUELLER,CPVC,4,4.4478,16,3,1,0,0,48,8,2,0,0
69,"CODO COBRE 90 X 3/8""",NACOBRE,COBRE,6,0,0,0,0,0,0,48,8,2,0,0
70,TIRA TRIM MARMOL VERDE,TILES 2000,PLASTICO,6,0,0,0,0,0,0,48,8,2,0,0
71,"CODO PLUS 45 X 1 1/2""",TUBOPLUS,PPR,6,0,0,0,0,0,0,48,8,2,0,0
72,"POLIDUCTO 1 1/2"" C-40 (38 MM)",SIN MARCA,PLASTICO,4,4.4478,16,3,1,0,0,48,8,2,0,0
73,ABRAZADERA UÑA 5/16,IDEAL INT.,INOX,5.5,0.7413,3,0,0,0,0,47,8,2,0,0
74,ABRAZADERA UÑA 1 1/4,IDEAL INT.,INOX,5,1.4826,5,1,0,0,0,45,8,2,0,0
75,ANILLO HIDRAULICO DE 1 1/2,REXOLIT,HULE,5,1.4826,5,1,0,0,0,45,8,2,0,0
76,CODO CPVC 45 X 1/2,MUELLER,CPVC,5,1.4826,5,1,0,0,0,45,8,2,0,0
77,PIJA FIJADORA  8 X 50,SIN MARCA,ACERO,5,1.4826,5,1,0,0,0,45,8,2,0,0
78,CODO CPVC 45 X 3/4,MUELLER,CPVC,4,2.9652,11,2,1,0,0,43,7,2,0,0
79,TUBO PLUS 3/4 (25 MM),TUBOPLUS,PPR,4,2.9652,11,2,1,0,0,43,7,2,0,0
80,"CODO CPVC 90 X 1""",MUELLER,CPVC,4,2.9652,11,2,1,0,0,43,7,2,0,0
81,"CODO COBRE 90 X 3/4""",NACOBRE,COBRE,4,2.9652,11,2,1,0,0,43,7,2,0,0
82,ABRAZADERA SIN FIN No. 8,IDEAL INT.,INOX,4,2.9652,11,2,1,0,0,43,7,2,0,0
83,ABRAZADERA UÑA 1 1/2,IDEAL INT.,INOX,5,0.7413,3,0,0,0,0,43,7,2,0,0
84,RED. PLUS 1 X 1/2 (32 X 20 MM),TUBOPLUS,PPR,4,2.9652,11,2,1,0,0,43,7,2,0,0
85,"ABRAZADERA OMEGA 3""",IDEAL INT.,INOX,4,2.9652,11,2,1,0,0,43,7,2,0,0
86,EMPAQUE PARA BRIDA DE 2 1/2,SIN MARCA,HULE,4,2.9652,11,2,1,0,0,43,7,2,0,0
87,COPLE PLUS 1/2 (20MM),TUBOPLUS,PPR,4,2.9652,11,2,1,0,0,43,7,2,0,0
88,"CODO HID. P/CEM. 90 X 1/2""",REXOLIT,HIDRAULICO,4,2.9652,11,2,1,0,0,43,7,2,0,0
89,CODO RECTO DURMAN 90 X 3/8,DURMAN,METAL,4,2.9652,11,2,1,0,0,43,7,2,0,0
90,COPLE CPVC 3/4,MUELLER,CPVC,4,2.9652,11,2,1,0,0,43,7,2,0,0
91,CODO DE PISO 90 X 1/2 CEM.,REXOLIT,PVC,4,2.9652,11,2,1,0,0,43,7,2,0,0
92,VALVULA PARA COMAL A.P. ,SIN MARCA,BRONCE,4,2.9652,11,2,1,0,0,43,7,2,0,0
93,VALVULA PARA ESTUFON A.P.  V.CORTO,SIN MARCA,BRONCE,4,2.9652,11,2,1,0,0,43,7,2,0,0
94,COPLE PLUS 3/4 (25MM),TUBOPLUS,PPR,4,2.9652,11,2,1,0,0,43,7,2,0,0
95,ABRAZADERA SIN FIN No. 10,IDEAL INT.,INOX,4,2.9652,11,2,1,0,0,43,7,2,0,0
96,VALVULA DE INSERCION DURMAN 3/8 X 1/2,DURMAN,BRONCE,4,2.9652,11,2,1,0,0,43,7,2,0,0
97,"TAPON CPVC 1 """,MUELLER,CPVC,4,2.9652,11,2,1,0,0,43,7,2,0,0
98,"TAQUETE PLASTICO 3/8"" ",ZAKANY,PLASTICO,4,2.9652,11,2,1,0,0,43,7,2,0,0
99,EMPAQUE CONO PARA CALENTADOR SOLAR,SOLARIS,HULE,4,2.9652,11,2,1,0,0,43,7,2,0,0
100,DISCO URREA DURO P/REG. R207025,URREA,PLASTICO,4,2.9652,11,2,1,0,0,43,7,2,0,0
101,"TUBO HID. C/CAM. 2 1/2"" RD.26",REXOLIT,HIDRAULICO,4,2.9652,11,2,1,0,0,43,7,2,0,0
102,CHAROLA URREA P/JAB. 301 R404017,URREA,CROMADO,3.5,3.7064999999999997,14,2,1,0,0,42,7,2,0,0
103,VIDRIO BLOCK CLEAR LATTICE,SIN MARCA,VIDRIO,5,0,0,0,0,0,0,40,7,2,0,0
104,LIJA P/MADERA No.040,FANDELI,ABRACIBOS,5,0,0,0,0,0,0,40,7,2,0,0
105,LIJA P/AGUA No.320,FANDELI,ABRACIBOS,5,0,0,0,0,0,0,40,7,2,0,0
106,"LLAVE D/COMP. FIG. 783 1 1/4"" SOLD. URREA",URREA,BRONCE,5,0,0,0,0,0,0,40,7,2,0,0
107,LIJA P/AGUA No.180,FANDELI,ABRACIBOS,4.5,0.7413,3,0,0,0,0,39,6,2,0,0
108,EMPAQUE DE GEL PARA CALENTADOR SOLAR,SOLARIS,HULE,4.5,0.7413,3,0,0,0,0,39,6,2,0,0
109,LIJA P/AGUA No.1000,FANDELI,ABRACIBOS,4.5,0.7413,3,0,0,0,0,39,6,2,0,0
110,ABRAZADERA OMEGA 1 1/2,IDEAL INT.,INOX,4,1.4826,5,1,0,0,0,37,6,2,0,0
111,RED. PLUS 1 1/2 X 1 (50 X 32 MM),TUBOPLUS,PPR,4,1.4826,5,1,0,0,0,37,6,2,0,0
112,TUBO C-40 HIDRAULICO DE 1 1/4,ADVANCE,PVC,4,1.4826,5,1,0,0,0,37,6,2,0,0
113,SEGUETA HECORT DIENTE GRUESO,HECORT,METAL,4,1.4826,5,1,0,0,0,37,6,2,0,0
114,COPLE HULCEN INSERCION 3/8,HULCEN,PLASTICO,4,1.4826,5,1,0,0,0,37,6,2,0,0
115,LIJA P/MADERA C-81,FANDELI,ABRACIBOS,4,1.4826,5,1,0,0,0,37,6,2,0,0
116,CODO PLUS 90 X 1 1/4,TUBOPLUS,PPR,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
117,ABRAZADERA OMEGA 1 1/4,IDEAL INT.,INOX,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
118,ABRAZADERA SIN FIN No. 40,IDEAL INT.,INOX,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
119,LIJA P/AGUA No.2000,FANDELI,ABRACIBOS,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
120,CABLE THW 14 IUSA,IUSA,ACERO,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
121,ESPREA BARBER,SIN MARCA,BRONCE,3.5,2.2239,8,1,0,0,0,36,6,2,0,0
122,"CINTA TEFLON COFLEX 3/4""",COFLEX,TEFLON,3,2.9652,11,2,1,0,0,35,6,2,0,0
123,"CODO P/CEM. 90 X 1 1/2""",REXOLIT,PVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
124,"CODO HID. P/CEM. 90 X 1 1/2""",REXOLIT,HIDRAULICO,3,2.9652,11,2,1,0,0,35,6,2,0,0
125,"CODO HID. P/CEM. 90 X 3/4""",REXOLIT,HIDRAULICO,3,2.9652,11,2,1,0,0,35,6,2,0,0
126,"CODO P/CEM. 45 X 1 1/2""",REXOLIT,PVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
127,TUBO PLUS 1/2 (20 MM) ,TUBOPLUS,PPR,3,2.9652,11,2,1,0,0,35,6,2,0,0
128,COPLE COBRE 1/2 C/TOPE,NACOBRE,COBRE,3,2.9652,11,2,1,0,0,35,6,2,0,0
129,"CODO PLUS 90 X 1""",TUBOPLUS,PPR,3,2.9652,11,2,1,0,0,35,6,2,0,0
130,"CODO HID. P/CEM. 90 X 2""",REXOLIT,HIDRAULICO,3,2.9652,11,2,1,0,0,35,6,2,0,0
131,LIJA P/FIERRO GRUESA,FANDELI,ABRACIBOS,3,2.9652,11,2,1,0,0,35,6,2,0,0
132,EMPAQUE ORRING COFLEX P/ PUNTA POOL,COFLEX,PLASTICO,3,2.9652,11,2,1,0,0,35,6,2,0,0
133,COPLE EDOMEX INSERCION 3/8,EDO-MEX,PVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
134,EMPAQUE 02 CONICO P/LLAVE,SIN MARCA,HULE,3,2.9652,11,2,1,0,0,35,6,2,0,0
135,"COPLE CRE COBRE 1/2""",NACOBRE,COBRE,3,2.9652,11,2,1,0,0,35,6,2,0,0
136,"CODO P/CEM. 45 X 2""",REXOLIT,PVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
137,"CODO HID. P/CEM. 45 X 1 1/2""",REXOLIT,HIDRAULICO,3,2.9652,11,2,1,0,0,35,6,2,0,0
138,MANERAL HELVEX  FLAIR TRANS. C-6,HELVEX,CROMADO,3,2.9652,11,2,1,0,0,35,6,2,0,0
139,TIRA TRIM ALUMINIO NEGRA,SIN MARCA,ALUMINIO,3,2.9652,11,2,1,0,0,35,6,2,0,0
140,RED. PLUS 3/4 X 1/2 (25 X 20 MM),TUBOPLUS,PPR,3,2.9652,11,2,1,0,0,35,6,2,0,0
141,TEE PLUS 3/4 (25 MM),TUBOPLUS,PPR,3,2.9652,11,2,1,0,0,35,6,2,0,0
142,TEE PLUS 1/2 (20 MM),TUBOPLUS,PPR,3,2.9652,11,2,1,0,0,35,6,2,0,0
143,TAPON CPVC 3/4,MUELLER,CPVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
144,TAPON CPVC 1/2,MUELLER,CPVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
145,TEE CPVC 1/2,MUELLER,CPVC,3,2.9652,11,2,1,0,0,35,6,2,0,0
146,ABRAZADERA SIN FIN No. 12,IDEAL INT.,INOX,3,2.9652,11,2,1,0,0,35,6,2,0,0
147,CODO COB. RED. 1/2 X 3/8,NACOBRE,BRONCE,4,0,0,0,0,0,0,32,5,2,0,0
148,CODO DE LAMINA 45 X 5,SIN MARCA,LAMINA,4,0,0,0,0,0,0,32,5,2,0,0
149,BULTO PEGALEZA BLANCO,CANFRANC,PASTA,4,0,0,0,0,0,0,32,5,2,0,0
150,CORDON POT 18 IUSA,IUSA,ACERO,4,0,0,0,0,0,0,32,5,2,0,0
151,"COPLE PLUS 1"" (32MM) ",TUBOPLUS,PPR,3,2.2239,8,1,0,0,0,32,5,2,0,0
152,FOCO AHORRADOR 20 WTS IGOTO,OSRAM,FOCO,4,0,0,0,0,0,0,32,5,2,0,0
153,TUBO PPR 4 MTS 3/4 DICA 44PPR.25,DICA,PPR,3,2.2239,8,1,0,0,0,32,5,2,0,0
154,PIJA FIJADORA 12 X 25,SIN MARCA,ACERO,4,0,0,0,0,0,0,32,5,2,0,0
155,MANGUERA P/GAS 3/8 ALTA PRESION,SIN MARCA,PLASTICO,3,2.2239,8,1,0,0,0,32,5,2,0,0
156,VIDRIO BLOCK CLEAR MOSAICO,SIN MARCA,VIDRIO,4,0,0,0,0,0,0,32,5,2,0,0
157,"TEE PVC UNICOPLE RED. 4""X2""",REXOLIT,PVC,4,0,0,0,0,0,0,32,5,2,0,0
158,CODO  PVC ANGER 11/2 X90°,REXOLIT,PVC,4,0,0,0,0,0,0,32,5,2,0,0
159,TIRA ANTIDERRAPANTE P/ESCALERA NEGRA,FANDELI,PLASTICO,4,0,0,0,0,0,0,32,5,2,0,0
160,ABRAZADERA SIN FIN 20,HIERRO,ACERO INOX,4,0,0,0,0,0,0,32,5,2,0,0
161,CABO PARA MARRO,SIN MARCA,MADERA,3.5,0.7413,3,0,0,0,0,31,5,2,0,0
162,FOCO AHORRADOR 12 WTS OSRAM,OSRAM,FOCO,3,1.4826,5,1,0,0,0,29,5,1,0,0
163,"ABRAZADERA UÑA 2""",IDEAL INT.,INOX,3,1.4826,5,1,0,0,0,29,5,1,0,0
164,CODO PLUS 45 X 3/4,TUBOPLUS,PPR,3,1.4826,5,1,0,0,0,29,5,1,0,0
165,"NIPLE GALV. 1/4"" X 4 1/2""",MUELLER,GALVANIZADO,3,1.4826,5,1,0,0,0,29,5,1,0,0
166,EMPAQUE 14 ORING NEOPRENO 112,SIN MARCA,HULE,3,1.4826,5,1,0,0,0,29,5,1,0,0
167,COPLE COBRE 3/4 C/TOPE,NACOBRE,COBRE,3,1.4826,5,1,0,0,0,29,5,1,0,0
168,"RED. BUSHING COBRE 1/2"" X 3/8""",NACOBRE,COBRE,3,1.4826,5,1,0,0,0,29,5,1,0,0
169,CODO PLUS MACHO 1/2 (20 MM),TUBOPLUS,PPR,3,1.4826,5,1,0,0,0,29,5,1,0,0
170,"COPLE CPVC 1""",MUELLER,CPVC,3,1.4826,5,1,0,0,0,29,5,1,0,0
171,"CODO P/CEM. 90 X 3""",REXOLIT,PVC,3,1.4826,5,1,0,0,0,29,5,1,0,0
172,"CODO P/CEM. 90 X 4""",REXOLIT,PVC,3,1.4826,5,1,0,0,0,29,5,1,0,0
173,CODO COBRE 45 X 1/2,NACOBRE,COBRE,3,1.4826,5,1,0,0,0,29,5,1,0,0
174,"CODO CPVC 45 X 1""",MUELLER,CPVC,3,1.4826,5,1,0,0,0,29,5,1,0,0
175,VALVULA ANGULAR CPVC 1/2 DICA,DICA,CPVC,3,1.4826,5,1,0,0,0,29,5,1,0,0
176,"ABRAZADERA OMEGA 2""",IDEAL INT.,INOX,3,1.4826,5,1,0,0,0,29,5,1,0,0
177,"ABRAZADERA OMEGA 4""",IDEAL INT.,INOX,3,1.4826,5,1,0,0,0,29,5,1,0,0
178,LIJA P/MADERA No.040 GRUESA,FANDELI,ABRACIBOS,3,1.4826,5,1,0,0,0,29,5,1,0,0
179,"NIPLE GALV. 1 1/2"" X 4 1/2""",MUELLER,GALVANIZADO,3,1.4826,5,1,0,0,0,29,5,1,0,0
180,"ADAPTADOR PLUS MACHO 1/2""",TUBOPLUS,PPR,3,1.4826,5,1,0,0,0,29,5,1,0,0
181,EMPAQUE 010 ORING P/BOQUILLA,SIN MARCA,HULE,3,1.4826,5,1,0,0,0,29,5,1,0,0
182,"TUBO COBRE T-M 1""",NACOBRE,COBRE,2.4000000953674316,2.816940141391754,10,2,0,0,0,29,5,1,0,0
183,CODO HID. DE 2 1/2 X 45 C/CAMP.,REXOLIT,HIDRAULICO,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
184,ABRAZADERA SIN FIN No. 52,IDEAL INT.,INOX,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
185,"NIPLE GALV. 1/4"" X 5 1/2""",MUELLER,GALVANIZADO,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
186,LIJA P/AGUA No.600,FANDELI,ABRACIBOS,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
187,EMPAQUE PARA CALENTADOR SOLAR,SOLARIS,HULE,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
188,"CODO PLUS 45 X 1 1/4""",TUBOPLUS,PPR,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
189,EMPAQUE PARA BRIDA DE 3,SIN MARCA,HULE,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
190,LIJA P/AGUA No.220,FANDELI,ABRACIBOS,2.5,2.2239,8,1,0,0,0,28,5,1,0,0
191,"CODO COBRE 45 X 1 1/4""",NACOBRE,COBRE,2.5,1.4826,5,1,0,0,0,25,4,1,0,0
192,"TAPON CAPA GALV. 4""",MUELLER,GALVANIZADO,2.5,1.4826,5,1,0,0,0,25,4,1,0,0
193,"COPLE PLUS 1 1/4"" (40MM)",TUBOPLUS,PPR,2.5,1.4826,5,1,0,0,0,25,4,1,0,0
194,"TUBO PVC SANITARIO 1 1/2""",ADVANCE,PVC,2,2.5204199823260307,9,2,0,0,0,25,4,1,0,0
195,"TUBO HID. P/CEM. 1/2"" RD 13.5",ADVANCE,PVC,2,2.5204199823260307,9,2,0,0,0,25,4,1,0,0
196,"RED. HID. CEM. 1 1/4"" X 1/2""",MUELLER,HIDRAULICO,3,0,0,0,0,0,0,24,4,1,0,0
197,"TUERCA UNION PLUS 1"" (32MM) PLASTICA",TUBO PLUS,PPR,3,0,0,0,0,0,0,24,4,1,0,0
198,"NIPLE GALV. 1 1/2"" X 5 1/2""",MUELLER,GALVANIZADO,3,0,0,0,0,0,0,24,4,1,0,0
199,LLAVE T/BAJO DICA FIG. 4005 1/2,DICA,BRONCE,3,0,0,0,0,0,0,24,4,1,0,0
200,HILO P/DESBROZADORA ALMA DE ACERO ,SIN MARCA,ACERO,3,0,0,0,0,0,0,24,4,1,0,0
201,"TUBO HID. C/CAM. 2"" RD 26",ADVANCE,PVC,2,2.2239,8,1,0,0,0,24,4,1,0,0
202,PORTA PAPEL URREA FIG. 317,URREA,CROMADO,3,0,0,0,0,0,0,24,4,1,0,0
203,"NIPLE GALV. 3/8"" X 5 1/2""",MUELLER,GALVANIZADO,3,0,0,0,0,0,0,24,4,1,0,0
204,"TUBO GALV. 3""",MUELLER,GALVANIZADO,3,0,0,0,0,0,0,24,4,1,0,0
205,"VALVULA ESF. TUBOPLUS 1"" (32 MM)",TUBOPLUS,PPR,3,0,0,0,0,0,0,24,4,1,0,0
206,ABRAZADERA SIN FIN No. 36,IDEAL INT.,INOX,2.5,0.7413,3,0,0,0,0,23,4,1,0,0
207,ADAPTADOR HULCEN INSERCION 1 1/4,HULCEN,PLASTICO,2.5,0.7413,3,0,0,0,0,23,4,1,0,0
208,"RED. CAMPANA COB. 1 1/2"" X 1 1/4""",NACOBRE,COBRE,2.5,0.7413,3,0,0,0,0,23,4,1,0,0
209,TAPON PLUS 1 1/4 (40 MM),TUBOPLUS,PPR,2.5,0.7413,3,0,0,0,0,23,4,1,0,0
210,"TUBO GALV. 3/4""",MUELLER,GALVANIZADO,1.9349999725818634,1.9422059593498706,7,1,0,0,0,22,4,1,0,0
211,VALVULA ANGULAR C/ROSCA NACOBRE,NACOBRE,BRONCE,2,1.4826,5,1,0,0,0,21,4,1,0,0
212,ABRAZADERA SIN FIN No. 6,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
213,ABRAZADERA SIN FIN No. 32,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
214,ABRAZADERA SIN FIN No. 28,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
215,ABRAZADERA SIN FIN No. 44,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
216,ABRAZADERA SIN FIN No. 4,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
217,ABRAZADERA SIN FIN No. 16,IDEAL INT.,INOX,2,1.4826,5,1,0,0,0,21,4,1,0,0
218,"CODO COBRE 90 X 1""",NACOBRE,COBRE,2,1.4826,5,1,0,0,0,21,4,1,0,0
219,"TUERCA UNION GALV. 3/4""",MUELLER,GALVANIZADO,2,1.4826,5,1,0,0,0,21,4,1,0,0
220,"TUERCA UNION GALV. 3""",MUELLER,GALVANIZADO,2,1.4826,5,1,0,0,0,21,4,1,0,0
